Region  or autonomous province,Cases,Deaths#,Deaths%,ICU#,ICU%,Recovered#,Recovered%,Tested#,Tested%  pos.
Lombardia,42161,6818,16.2,1330,3.2,10337,24.5,111057,38.0
Emilia-Romagna,13531,1538,11.4,351,2.6,1227,9.1,50990,26.5
Veneto,8724,413,4.7,355,4.1,747,8.6,99941,8.7
Piemonte,8712,749,8.6,452,5.2,308,3.5,25478,34.2
Toscana,4412,231,5.2,279,6.3,131,3.0,30099,14.7
Marche,3684,417,11.3,167,4.5,16,0.4,10979,33.6
Liguria,3217,397,12.3,175,5.4,437,13.6,9677,33.2
Lazio,2914,150,5.1,154,5.3,267,9.2,32846,8.9
Campania,1952,125,6.4,126,6.5,88,4.5,12969,15.1
Aut. Prov.  of Trentino,1682,147,8.7,78,4.6,178,10.6,6377,26.4
Puglia,1712,91,5.3,106,6.2,36,2.1,13117,13.1
Friuli-Venezia Giulia,1501,107,7.1,60,4.0,285,19.0,14003,10.8
Sicilia,1555,76,4.9,75,4.8,71,4.6,14758,10.5
Abruzzo,1345,102,7.6,69,5.1,74,5.5,7948,16.9
Aut. Prov.  of South Tyrol,1325,74,5.6,62,4.7,153,11.5,10640,12.5
Umbria,1051,33,3.1,47,4.5,184,17.5,8150,12.9
Sardegna,682,28,4.1,24,3.5,32,4.7,4993,13.7
Calabria,647,31,4.8,18,2.8,14,2.2,9013,7.2
Valle d'Aosta,584,50,8.6,26,4.5,16,2.7,1536,38.0
Basilicata,214,5,2.3,18,8.4,1,0.5,1833,11.7
Molise,134,9,6.7,8,6.0,18,13.4,955,14.0
,,,,,,,,,
Italy,101739,11591,11.4,3981,3.9,14620,14.4,477359,21.3
