State/territory,State of emergency declared,Stay at home ordered,Gatherings banned,Closures ordered-Schools,Closures ordered-Daycares,Closures ordered-Bars & sit-down restaurants,Closures ordered-Non-essential retail
Alabama,March 13,No,25 or more,Yes,Yes,Yes,No
Alaska,March 11,Regional,10 or more,Yes,Yes,Yes,No
American Samoa,January 29,No,,,,,
Arizona,March 11,No,50 or more,Yes,Yes,Yes,No
Arkansas,March 11,No,No specification,Yes,Yes,Yes,No
California,March 4,March 19,All,Yes,Yes,Yes,Yes
Colorado,March 10,March 27,10 or more,Yes,Restricted,Yes,Yes
Connecticut,March 10,March 23,All,Yes,Yes,Yes,Yes
Delaware,March 12,March 24,All,Yes,Yes,Yes,Yes
District of Columbia,March 11,No,10 or more,Yes,Yes,Yes,Yes
Florida,March 1,Regional,10 or more,Yes,Yes,Yes,No
Georgia,March 14,Regional,10 or more,Yes,No,Yes,No
Guam,March 14,No,All,Yes,Yes,Yes,Yes
Hawaii,March 4,March 25,"11 or more, and public gathering in public places",Yes,Yes,Yes,Yes
Idaho,March 13,March 25,All,Yes,Yes,Yes,Yes
Illinois,March 9,March 21,All,Yes,Yes,Yes,Yes
Indiana,March 6,March 25,"All outside, and 11 or more inside a household",Yes,Yes,Yes,Yes
Iowa,March 9,No,10 or more,Yes,Yes,Yes,No
Kansas,March 9,Regional,50 or more,Yes (remainder of term),Yes,No,No
Kentucky,March 6,No,50 or more,Yes,Yes,Yes,Yes
Louisiana,March 11,March 23,11 or more,Yes,Yes,Yes,Yes
Maine,March 15,No,10 or more,Yes,Yes,Yes,Restricted
Maryland,March 5,No,10 or more,Yes,Yes,Yes,Yes
Massachusetts,March 10,March 24  (advisory),11 or more,Yes,Yes,Yes,Yes
Michigan,March 11,March 24,All,Yes,Yes,Yes,Yes
Minnesota,March 13,March 27,All,Yes,Yes,Yes,Yes
Mississippi,March 4,No,10 or more,Yes,No,Yes,Limited
Missouri,March 13,Regional,10 or more,Yes,No,Yes,No
Montana,March 12,No,10 or more,Yes,Yes,Yes,No
Nebraska,March 13,No,10 or more,Recommended,Restricted,Restricted,No
Nevada,March 12,No,10 or more,Yes,Yes,Yes,Yes
New Hampshire,March 13,No,50 or more,Yes,Yes,Yes,No
New Jersey,March 9,March 21,All,Yes,Yes,Yes,Yes
New Mexico,March 11,March 24,6 or more,Yes,Yes,Yes,Yes
New York,March 7,March 22,All,Yes,Yes,Yes,Yes
North Carolina,March 10,Regional,50 or more,Yes,Yes,Yes,No
North Dakota,March 13,No,50 or more,Yes,Yes,Yes,No
N. Mariana Islands,January 29,No,,,,,
Ohio,March 9,March 23,All,Yes,Restricted,Yes,Yes
Oklahoma,March 15,No,11 or more,Yes,Yes,Regional,Regional
Oregon,March 8,March 23,All,Yes,Yes,Yes,Restricted
Pennsylvania,March 6,Regional,10 or more (recommended),Yes,Yes,Yes,Yes
Puerto Rico,March 12,March 15,All,Yes,Yes,Yes,Yes
Rhode Island,March 9,No,25 or more,Yes,Yes,Yes,No
South Carolina,March 13,No,50 or more,Yes,Yes,Yes,No
South Dakota,March 13,No,50 or more,Yes,Yes,No,No
Tennessee,March 12,Regional,10 or more,Yes,Yes,Yes,No
Texas,March 13,Regional,10 or more,Yes,Yes,Yes,No
Utah,March 6,Regional,10 or more,Yes,Yes,Yes,No
U.S. Virgin Islands,,No,,Yes,Yes,,
Vermont,March 16,March 25,10 or more,Yes,Yes,Yes,Yes
Virginia,March 12,No,10 or more,Yes (remainder of term),Yes,Yes,Yes
Washington,February 29,March 23,All,Yes,Yes,Yes,Yes
West Virginia,March 4,March 23,All,Yes,Yes,Yes,Yes
Wisconsin,March 12,March 25,All,Yes,Yes,Yes,Yes
Wyoming,March 12,No,10 or more,Yes,Yes,Yes,No
