school_name,state,start_date,end_date,news_link,notes
Academy of Art University,CA,2020-03-11,,https://www.academyart.edu/about-us/completing-your-courses-in-an-emergency/,"Effective Mar. 11, Academy is temporarily moving all our onsite classes online as a preventative measure"
Acton-Boxborough Regional School District,MA,2020-03-13,,https://www.abschools.org/UserFiles/Servers/Server_216027/File/Student%20Services/Health%20&%20Nursing/3-12-2020%20Closure%20Letter%20.pdf,"Acton-Boxborough Regional SD close all Schools starting tomorrow, March 13th"
Adelphi University,NY,2020-03-11,2020-03-22,https://ncc.edu/campusservices/health_services/covid.shtml,
Agnes Scott College,GA,2020-03-23,2020-04-03,https://www.agnesscott.edu/coronavirus/index.html,moving to online classes 
Allegheny College,PA,2020-03-14,2020-03-30,https://sites.allegheny.edu/emergency/important-update-alleghenys-covid-19-plan-march-11-2020/,
American University,DC,2020-03-18,2020-04-03,https://www.american.edu/president/announcements/march-10-2020.cfm,
Amherst College,MA,2020-03-12,,https://www.amherst.edu/news/covid-19/messages-for-the-college-community/node/766550,
Arizona State University,AZ,2020-03-16,2020-05-01,https://eoss.asu.edu/health/announcements/coronavirus,ASU extends Online classes through end of spring semester
Arkansas State University,AR,2020-03-17,,https://www.astate.edu/safety/novel-coronavirus/,"While the university remains open, there will be no classes on Monday, March 16, as final preparations are made to transition to all online class delivery starting Tuesday, March 17, and continuing until the end of the 2020 Spring Semester."
Arkansas Tech University,AR,2020-03-16,2020-04-10,https://www.arkansastechnews.com/in-person-classes-cease-5-p-m-march-13-at-atu/,"Arkansas Tech University is moving all classes online until April 10th at least. no classes (face-to-face or virtual) Monday, March 16, or Tuesday, March 17."
Auburn University,AL,2020-03-16,2020-04-10,https://ocm.auburn.edu/newsroom/news_articles/2020/03/121240-coronavirus-remote-transition.php,"Auburn University will transition from on-campus instruction to remote delivery beginning Monday, March 16 and continue through April 10 in response to concerns about the spread of the coronavirus (COVID-19)."
Babson College,MA,2020-03-13,,https://www.bostonglobe.com/2020/03/10/nation/list-area-colleges-canceling-classes-sending-students-home-due-coronavirus/,
Barnard College,NY,2020-03-08,,https://alert.barnard.edu/news/important-update-covid-19-and-class-cancellations-march-8-2020-staff,
Bates College,ME,2020-03-23,2020-04-17,https://www.bates.edu/covid-19/,"Classes will be suspended during March 16 through March 20. Then, classes will resume on March 23 and continue through April 17 by remote learning. "
Baylor University,TX,2020-03-23,2020-04-03,https://www.baylor.edu/mediacommunications/news.php?action=story&story=217914,
Bellevue College,WA,2020-03-06,,https://www.bellevuecollege.edu/publicsafety/flu/,
Belmont College,OH,2020-03-23,2020-04-03,http://www.belmont.edu/health-services/coronavirus/index.html,
Berea College,KY,2020-03-14,,https://www.berea.edu/covid-19-plan/,
Bergen County Public School District,NJ,2020-03-12,,https://www.nj.com/coronavirus/2020/03/all-75-bergen-county-public-school-districts-closing-moving-to-online-learning-as-coronavirus-grows.html,All 75 Bergen County school districts will close and use online learning
Berklee College of Music,MA,2020-03-23,,https://www.berklee.edu/covid19,
Black Hills State University,SD,2020-03-16,2020-05-08, https://news.sd.gov/newsitem.aspx?id=26563,all public university courses will continue by remote delivery through the remainder of the spring semester. Face-to-face instruction will not resume. The spring 2020 semester is scheduled to end May 8.
Bloomsburg University,PA,2020-03-23,2020-04-06,https://www.bloomu.edu/coronavirus,
Boston College,MA,2020-03-12,,https://www.bcinterruption.com/2020/3/11/21175601/boston-college-cancels-all-in-person-classes-orders-all-students-to-vacate-dormitories-by-march-15,
Boston University,MA,2020-03-16,2020-04-13,http://www.bu.edu/president/letter-to-the-community-on-coronavirus-followup/,
Bowdoin College,ME,2020-03-11,,https://www.bowdoin.edu/covid-19/messages/03-11-2020.html,
Bowie State University,MD,2020-03-14,,https://www.wbaltv.com/article/university-system-of-maryland-schools-to-prepare-for-remote-instruction-following-spring-break/31351840,
Bowling Green State University ,OH,2020-03-24,2020-04-06,https://www.bgsu.edu/coronavirus.html,
Brandeis University,MA,2020-03-16,,https://www.brandeis.edu/health/coronavirus/2020-03-11-covid-19-update-changes-classes-operations.html,"By Monday March 16, all Brandeis classes with more than 100 students will move online."
Brandman University,CA,2020-03-09,,https://www.brandman.edu/news-and-events/news/coronavirus-information,
Bryant University,RI,2020-03-16,2020-03-27,https://www.abc6.com/bryant-university-moves-all-classes-online-amid-covid-19-outbreak/,
Bryn Mawr,PA,2020-03-11,2020-04-03,https://www.brynmawr.edu/healthcenter/coronavirus-information-and-updates,
Bucknell University,PA,2020-03-16,,https://www.bucknell.edu/life-bucknell/health-wellness-safety/coronavirus-covid-19-updates,moving to online classes
Buena Vista University,IA,2020-03-16,2020-03-29,https://www.bvu.edu/bv/health-services/coronavirus,"Buena Vista University will extend its current spring break for students by one week\u2014through Sunday, March 29, 2020. This is effective at 5 p.m. Friday, March 13. Classes will resume Monday, March 30, 2020. "
Butler University,IN,2020-03-16,2020-04-04,https://www.butler.edu/coronavirus-updates,"Butler close its residential housing until at least April 4, a date consistent with our announced move to online learning. I also recommend that students who live in Greek chapter houses or rental properties adjacent to campus return to their permanent residences during this time. Spring Break is extended through Wednesday, March 18 for students (no classes) and all classes will be conducted through virtual instruction from Thursday, March 19 through at least Saturday, April 4."
California Institute of Technology,CA,2020-03-13,,https://www.caltech.edu/coronavirus,Caltech have decided to shift to online teaching for spring quarter.
California Lutheran University,CA,2020-03-16,2020-04-05,https://www.callutheran.edu/emergency/,
